date,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median (POR),Max
10-01,48.2,63.68,31.64,51.98,38.66,62.78,61.16,53.6,61.88,36.86,53.6,71.78,57.56,44.96,41.54,52.7,58.64,41.72,48.2,29.66,53.06,54.68,46.22,44.06,37.22,45.716,55.832,62.6,29.66,52.7,71.78
10-02,43.88,51.8,33.08,54.14,52.34,41.72,51.8,46.76,62.06,39.2,62.78,63.14,62.96,41.18,37.76,48.02,49.64,36.32,56.12,33.44,54.68,53.6,45.68,44.24,36.608,43.016,53.816,62.636,33.08,49.64,63.14
10-03,35.42,47.48,37.58,52.34,53.78,36.32,43.34,45.68,59.72,39.92,71.24,65.48,35.06,32.9,41.0,42.44,42.8,33.98,40.28,40.28,53.6,59.18,47.3,43.7,35.132,40.136,49.424,59.612,32.9,42.8,71.24
10-04,32.72,32.72,39.92,57.92,52.7,32.72,44.6,39.74,53.6,32.36,63.14,62.96,31.28,30.56,56.12,38.12,40.1,35.6,38.12,42.62,60.8,61.34,52.34,47.48,32.432,37.112,53.06,61.232,30.56,40.1,63.14
10-05,25.52,35.6,42.62,62.24,57.38,32.9,57.38,37.4,48.02,30.56,52.7,54.86,29.3,39.2,53.42,45.86,37.94,41.0,38.48,39.56,57.38,65.3,55.04,45.5,31.028,38.264,53.996,57.38,25.52,42.62,65.3
10-06,29.12,50.36,46.76,62.06,57.74,41.18,55.94,36.14,44.96,38.3,52.34,44.96,31.1,51.08,59.54,51.26,38.12,50.54,41.72,41.0,61.88,60.44,45.68,44.42,36.536,41.504,51.692,60.26,29.12,46.76,62.06
10-07,32.72,51.26,53.6,61.16,54.32,51.98,42.98,39.2,51.8,31.82,58.64,44.96,43.16,55.4,55.94,55.76,45.5,51.62,38.12,52.88,56.66,47.3,43.7,53.24,38.336,44.456,53.888,56.516,31.82,51.62,61.16
10-08,46.58,43.88,44.6,58.64,58.64,42.44,35.96,49.64,40.46,30.02,46.58,39.38,42.62,44.24,57.02,51.62,54.68,34.7,36.32,50.0,62.96,46.22,49.1,56.48,36.032,42.548,49.784,58.316,30.02,46.22,62.96
10-09,53.06,35.06,52.16,60.62,61.7,39.02,30.56,50.54,32.72,15.08,47.12,43.16,38.3,39.56,46.94,62.24,59.9,36.32,33.08,20.66,55.76,44.24,52.52,58.28,30.992,37.508,52.304,60.476,15.08,44.24,62.24
10-10,53.96,39.92,56.48,34.52,41.54,41.72,35.6,54.32,27.5,10.58,54.14,47.48,48.92,42.98,48.56,68.72,43.88,44.6,30.92,18.68,61.34,48.56,57.38,57.56,28.184,40.892,50.936,57.2,10.58,44.6,68.72
10-11,42.26,41.36,33.62,40.46,46.4,48.56,42.26,47.66,26.96,12.74,46.94,46.58,35.6,37.22,53.24,55.04,25.34,48.2,31.64,28.76,44.24,30.56,47.3,45.14,27.32,34.808,46.724,48.488,12.74,42.26,55.04
