date,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max,Median Peak SWE
10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,
10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,
10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,
10-05,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.1,0.0,1.0,0.0,0.0,0.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,2.4,
10-06,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0,2.2,0.0,0.0,0.9,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,2.3,
10-07,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0,2.1,0.0,0.0,0.8,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,2.1,
10-08,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,2.4,0.0,0.1,0.5,1.8,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.48,0.0,0.0,0.0,2.4,
10-09,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,2.5,0.0,0.0,0.4,1.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,2.5,
10-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.7,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.2,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,2.7,
10-11,0.0,0.0,0.0,0.5,0.0,0.0,0.8,0.0,1.4,2.5,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.04,0.0,0.0,0.0,2.5,
10-12,0.0,0.0,0.0,0.3,0.0,0.0,0.4,0.0,3.0,2.5,0.0,0.0,0.0,0.9,0.0,0.0,0.5,0.0,0.6,0.6,0.0,0.8,0.0,0.0,0.0,0.0,0.44,0.88,0.0,0.0,0.0,3.0,
10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,3.2,2.5,0.0,0.0,0.0,0.9,0.0,0.0,0.5,0.0,0.6,0.6,0.0,1.1,0.0,0.0,0.0,0.0,0.38,1.06,0.0,0.0,0.0,3.2,
10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,0.5,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,3.1,
10-15,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.4,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,1.4,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.12,1.8,0.0,0.0,0.0,3.0,
10-16,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.1,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,1.4,0.3,0.0,0.8,0.0,0.0,0.0,0.0,0.08,1.64,0.0,0.0,0.0,2.9,
10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2.7,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,2.7,
10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.5,1.9,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,1.3,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.08,1.78,0.0,0.0,0.0,2.5,
10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.0,1.2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.2,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.08,1.2,0.0,0.0,0.0,2.0,
10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,2.0,
10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.3,0.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,2.0,
10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.2,0.8,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.7,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,1.8,
10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.2,0.6,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.6,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,1.7,
10-24,0.0,0.0,0.1,0.0,0.6,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.5,0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.04,1.08,0.0,0.0,0.0,1.6,
10-25,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.2,0.3,1.8,0.0,0.0,0.0,0.0,0.0,0.08,0.54,0.0,0.0,0.0,1.8,
10-26,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.4,0.1,0.0,1.7,0.0,0.0,0.7,0.0,0.0,0.0,0.38,0.0,0.0,0.0,1.7,
10-27,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.4,0.0,0.0,0.0,0.6,0.0,0.8,1.8,0.0,0.0,0.7,0.0,0.0,0.04,0.76,0.0,0.0,0.0,1.8,
10-28,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.5,0.0,0.7,1.8,0.0,0.0,0.7,0.0,0.0,0.0,0.66,0.0,0.0,0.0,1.8,
10-29,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.5,0.0,1.0,1.7,0.0,0.0,0.7,0.0,0.0,0.0,0.98,0.0,0.0,0.0,1.7,
10-30,0.0,0.0,1.2,0.4,0.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.4,0.0,0.9,1.5,0.0,0.0,0.7,0.0,0.0,0.24,1.14,0.0,0.0,0.0,1.8,
10-31,0.0,0.0,1.2,1.4,0.3,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.4,0.0,1.0,1.4,0.0,0.0,0.7,0.0,0.0,0.3,1.36,0.0,0.0,0.0,1.8,
11-01,0.0,0.0,1.2,1.3,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.4,0.0,1.1,1.3,0.0,0.0,0.8,0.0,0.0,0.18,1.28,0.0,0.0,0.0,1.9,
11-02,0.0,0.0,1.2,1.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.7,0.0,0.0,0.0,1.1,0.0,1.1,1.3,0.0,0.0,0.8,0.0,0.0,0.42,1.28,0.0,0.0,0.0,1.7,
11-03,0.0,0.0,1.1,1.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.7,0.0,0.3,0.0,1.3,0.0,1.1,1.2,0.0,0.0,0.6,0.0,0.0,0.48,1.28,0.0,0.0,0.0,1.7,
11-04,0.0,0.0,1.1,1.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.7,0.0,0.4,0.0,1.5,0.0,1.3,1.0,0.0,0.0,0.3,0.0,0.0,0.54,1.38,0.0,0.0,0.0,1.7,
11-05,0.0,0.0,1.1,1.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.8,0.0,0.3,0.0,1.9,0.0,1.3,0.7,0.0,0.0,0.2,0.0,0.0,0.58,1.38,0.0,0.0,0.0,1.9,
11-06,0.2,0.0,1.1,1.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.9,0.0,0.3,0.0,1.9,0.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.38,0.0,0.0,0.0,1.9,
11-07,0.3,0.1,1.1,1.4,0.5,0.1,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.9,0.0,0.3,0.0,1.9,0.2,1.5,0.1,0.0,0.0,0.0,0.0,0.0,0.38,1.48,0.0,0.2,0.1,1.9,
11-08,0.3,0.2,1.1,1.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.9,0.0,0.0,0.0,1.9,0.3,1.5,0.5,0.0,0.2,0.0,0.0,0.0,0.44,1.48,0.0,0.2,0.2,1.9,
11-09,0.4,0.3,1.0,1.5,0.4,0.6,0.0,0.0,0.0,0.0,0.5,1.2,0.0,1.9,0.0,0.0,0.0,1.9,0.3,1.5,0.8,0.0,0.3,0.0,0.0,0.0,0.68,1.5,0.0,0.4,0.3,1.9,
11-10,0.4,0.0,1.0,1.5,0.0,0.7,0.1,0.0,0.0,0.0,0.3,1.2,0.3,1.8,0.9,0.0,0.0,1.9,0.3,1.3,0.8,0.0,0.4,0.0,0.0,0.0,0.84,1.46,0.0,0.3,0.3,1.9,
11-11,0.4,0.0,1.0,1.5,0.0,0.5,0.2,0.0,0.1,0.0,0.0,1.3,0.5,1.7,1.1,0.0,0.0,1.8,0.4,1.3,0.8,0.0,0.4,0.0,0.0,0.0,0.88,1.46,0.0,0.4,0.4,1.8,
11-12,0.5,0.0,1.1,1.5,0.0,0.3,0.2,0.0,0.0,0.0,0.0,1.3,0.6,1.7,0.9,0.1,0.0,2.3,0.6,1.4,0.9,0.0,0.4,0.0,0.0,0.0,0.9,1.48,0.0,0.4,0.4,2.3,
11-13,0.5,0.0,1.1,1.4,0.0,0.6,0.2,0.0,0.0,0.7,0.2,1.2,0.7,1.6,0.8,0.1,0.0,2.3,0.7,1.4,1.0,0.2,0.4,0.0,0.0,0.2,0.88,1.4,0.0,0.6,0.6,2.3,
11-14,0.5,0.0,1.1,1.4,0.0,0.8,0.2,0.2,0.1,0.7,0.2,1.1,0.6,1.5,0.9,0.0,0.0,2.4,0.6,1.4,0.9,0.0,0.4,0.0,0.0,0.2,0.9,1.4,0.0,0.6,0.6,2.4,
11-15,0.5,0.0,1.1,1.4,0.0,0.8,0.0,0.2,0.0,0.7,0.6,1.1,0.6,1.5,1.3,0.0,0.0,2.4,0.5,1.2,0.9,0.0,0.5,0.0,0.0,0.12,0.98,1.38,0.0,0.6,0.6,2.4,
11-16,0.5,0.0,1.1,1.4,0.0,0.9,0.0,0.0,0.0,0.7,0.9,1.4,0.6,1.4,1.3,0.0,0.0,2.4,0.6,1.2,0.9,0.0,0.5,0.0,0.0,0.0,0.98,1.4,0.0,0.6,0.6,2.4,
11-17,0.5,0.0,1.1,1.4,0.0,1.0,0.0,0.0,0.0,0.8,0.9,1.6,0.6,1.4,1.4,0.0,1.0,2.4,1.4,1.2,0.9,0.0,0.9,0.0,0.0,0.3,1.14,1.4,0.0,1.0,0.9,2.4,
11-18,0.4,0.1,0.9,1.4,0.0,1.0,0.0,0.0,0.0,0.8,0.9,2.2,0.6,1.3,1.4,0.0,1.4,2.5,1.3,0.6,0.9,0.0,0.9,0.0,0.0,0.28,1.12,1.4,0.0,0.8,0.9,2.5,
11-19,0.3,0.3,0.9,1.4,0.0,1.0,0.0,0.0,0.0,0.8,0.9,2.2,0.6,1.3,1.5,0.1,1.4,2.5,1.3,0.5,0.4,0.0,1.0,0.0,0.0,0.3,1.12,1.48,0.0,0.8,0.8,2.5,
11-20,0.2,0.4,0.9,0.6,0.0,1.0,0.0,1.2,0.0,0.8,1.8,2.4,0.4,1.3,1.5,0.3,1.4,2.5,1.3,0.3,0.4,0.0,1.1,0.0,0.0,0.36,1.24,1.74,0.0,0.8,0.8,2.5,
11-21,0.0,0.4,0.8,1.2,0.0,1.0,0.0,1.4,0.0,0.8,1.9,2.5,0.0,1.4,1.5,0.8,1.3,2.4,1.4,0.5,0.4,0.0,1.1,0.0,0.0,0.4,1.34,1.82,0.0,0.9,0.8,2.5,
